indicator,Net primary productivity in the northern Gulf of Mexico,Net primary productivity in the northern Gulf of Mexico
units,standardized monthly anomaly,mg of Carbon per square m per day
extent,northern Gulf of Mexico deeper than 1000 ft and north of 25.768N latitude,northern Gulf of Mexico deeper than 1000 ft and north of 25.768N latitude
Oct1997,-1.116631858,487.5335
Nov1997,-0.536451826,473.3735
Dec1997,-0.220458511,467.3445
Jan1998,0.852876007,526.873
Feb1998,0.779811178,552.2375
Mar1998,1.027485208,630.7525
Apr1998,0.349806843,552.824
May1998,1.487999254,728.2565
Jun1998,1.653111819,1007.6225
Jul1998,1.133160069,1137.65
Aug1998,-0.212231698,802.4475
Sep1998,-0.975558038,569.0345
Oct1998,0.773225385,558.521
Nov1998,-1.234136774,447.8515
Dec1998,-1.24671691,433.501
Jan1999,-1.492931421,449.8595
Feb1999,-1.173871438,477.375
Mar1999,-0.31721192,514.357
Apr1999,0.264023688,548.921
May1999,0.300489051,627.5345
Jun1999,-0.22680028,735.1225
Jul1999,-0.52650548,789.062
Aug1999,0.296797644,888.134
Sep1999,-0.294005394,598.671
Oct1999,-1.390709411,477.2385
Nov1999,-1.336157001,444.1195
Dec1999,-0.722784911,450.779
Jan2000,-1.430915489,451.8955
Feb2000,-1.825629614,452.4005
Mar2000,-1.227707582,435.5455
Apr2000,-1.747166019,457.415
May2000,-1.188042882,501.2805
Jun2000,-1.453175598,557.355
Jul2000,-0.587133446,776.328
Aug2000,-0.327449663,783.0525
Sep2000,-1.181588781,560.0755
Oct2000,-1.797512914,461.958
Nov2000,-0.539691215,473.255
Dec2000,0.290009789,484.1785
Jan2001,-0.453037563,483.9995
Feb2001,-1.16488104,477.7195
Mar2001,-0.162733288,527.7285
Apr2001,-0.088746627,532.8705
May2001,0.166283727,616.1515
Jun2001,-0.538162015,689.9895
Jul2001,-0.754186486,741.241
Aug2001,-0.458330022,761.021
Sep2001,0.135257902,617.337
Oct2001,-0.444602749,512.7765
Nov2001,-0.755923796,465.345
Dec2001,-0.237091032,466.796
Jan2002,0.074569978,501.321
Feb2002,-0.514440759,502.6435
Mar2002,-0.008214221,541.1035
Apr2002,0.162745496,544.313
May2002,-0.097122076,593.81
Jun2002,-0.877549962,640.794
Jul2002,-0.779995269,735.82025
Aug2002,-1.372045014,607.2125
Sep2002,-0.730047075,579.71025
Oct2002,0.725617888,556.73275
Nov2002,0.649704162,516.76425
Dec2002,0.103109981,478.015
Jan2003,0.425655993,512.84725
Feb2003,-0.393677142,507.271
Mar2003,-0.638062821,486.5845
Apr2003,-0.287396282,523.83225
May2003,0.312202394,628.528
Jun2003,0.401255931,826.1615
Jul2003,-0.170382841,863.86025
Aug2003,0.130993974,860.22375
Sep2003,0.096007654,615.63025
Oct2003,0.355626502,542.835
Nov2003,-0.126990421,488.352
Dec2003,1.146789316,512.433
Jan2004,-0.544706004,480.99
Feb2004,0.001397999,522.40975
Mar2004,-0.564118949,492.985
Apr2004,0.335971205,552.1945
May2004,-0.757699828,537.78125
Jun2004,-0.508657743,694.26625
Jul2004,0.515404954,1007.89975
Aug2004,-0.338943241,781.11775
Sep2004,-0.012607504,610.90725
Oct2004,0.992806897,566.769
Nov2004,0.63093758,516.07775
Dec2004,1.966642221,539.46975
Jan2005,-0.749334209,474.272
Feb2005,-0.789894023,492.0885
Mar2005,0.185396726,557.86225
Apr2005,0.150052754,543.7355
May2005,-0.650092695,546.90825
Jun2005,-1.147853727,601.6125
Jul2005,-1.344611643,617.231
Aug2005,-1.168273475,641.514
Sep2005,-0.525787106,588.59225
Oct2005,-0.207883071,521.66825
Nov2005,0.291881612,503.67475
Dec2005,0.99006912,507.26475
Jan2006,0.746510765,523.381
Feb2006,0.759468609,551.458
Mar2006,-0.759872946,476.04075
Apr2006,-1.252720527,479.9115
May2006,-0.653361466,546.631
Jun2006,-1.37955893,568.026
Jul2006,-1.48653912,587.42125
Aug2006,-1.436319351,596.393
Sep2006,-1.223374456,558.2585
Oct2006,-0.807725557,499.13675
Nov2006,0.325717501,504.9125
Dec2006,-0.572038473,455.75025
Jan2007,-0.95194446,467.62025
Feb2007,1.276155518,571.25675
Mar2007,-0.061949309,536.45225
Apr2007,0.185691336,545.357
May2007,-0.512167633,558.60675
Jun2007,-0.772926818,655.9595
Jul2007,-0.530936883,788.13125
Aug2007,-0.562122725,743.54925
Sep2007,0.165700272,618.66075
Oct2007,0.158567537,535.433
Nov2007,-0.33372353,480.7895
Dec2007,-1.145996912,436.8225
Jan2008,0.39097002,511.7085
Feb2008,-0.563463872,500.765
Mar2008,0.216990821,560.597
Apr2008,0.329135806,551.8835
May2008,2.878238137,846.1735
Jun2008,1.064302653,922.2725
Jul2008,0.617600974,1029.3645
Aug2008,0.388167064,903.5145
Sep2008,1.543581177,678.57625
Oct2008,0.360618201,543.0225
Nov2008,1.272862679,539.56
Dec2008,1.297596402,517.40625
Jan2009,0.914594956,528.89925
Feb2009,0.584964856,544.77125
Mar2009,-0.510779544,497.602
Apr2009,0.257501486,548.62425
May2009,-0.567176724,553.941
Jun2009,1.376188694,967.4815
Jul2009,1.68552968,1253.667
Aug2009,0.005687383,839.1305
Sep2009,-0.621805619,584.417
Oct2009,0.569550755,550.8705
Nov2009,1.817435276,559.481
Dec2009,1.165635464,513.0545
Jan2010,2.273333246,573.507
Feb2010,1.516984659,580.485
Mar2010,3.335641935,830.544
Apr2010,3.068888907,676.538
May2010,0.136272337,613.606
Jun2010,0.692721642,868.4105
Jul2010,-0.162068754,865.6065
Aug2010,0.337538289,894.992
Sep2010,-0.489170022,590.1845
Oct2010,-0.257926517,519.7885
Nov2010,-0.293757407,482.2515
Dec2010,-0.463775467,459.3205
Jan2011,-0.082586799,496.1615
Feb2011,0.703203594,549.302
Mar2011,-0.339849686,512.3975
Apr2011,0.623376645,565.271
May2011,0.142332385,614.12
Jun2011,1.122831733,930.7565
Jul2011,0.825040123,1072.934
Aug2011,1.258396854,1050.003
Sep2011,1.011722207,655.449
Oct2011,-0.360635716,515.9305
Nov2011,-0.798896946,463.773
Dec2011,-0.705288166,451.356
Jan2012,-0.142501012,494.1945
Feb2012,-1.369794259,469.8675
Mar2012,-0.84872863,468.3495
Apr2012,-0.502519029,514.0445
May2012,-0.70850909,541.9535
Jun2012,-1.030723131,618.591
Jul2012,-1.203737562,646.8195
Aug2012,-0.888524614,688.605
Sep2012,-0.651322358,583.1335
Oct2012,-1.236552435,483.029
Nov2012,-1.095225793,452.933
Dec2012,-1.099707862,438.349
Jan2013,-1.252695836,457.7465
Feb2013,0.4497892,539.5915
Mar2013,0.815398402,612.3945
Apr2013,-1.062263459,488.577
May2013,-0.912799941,524.626
Jun2013,0.49678651,840.009
Jul2013,0.261527136,954.5765
Aug2013,0.450786944,914.0555
Sep2013,0.534452529,634.6955
Oct2013,0.50046564,548.2755
Nov2013,-0.960702338,457.854
Dec2013,-1.365267214,429.5915
Jan2014,1.219778217,538.9185
Feb2014,1.028045328,561.7495
Mar2014,-0.179531099,526.2745
Apr2014,-0.730647715,503.665
May2014,-0.491390743,560.369
Jun2014,0.347793991,818.412
Jul2014,0.649317103,1036.026
Aug2014,1.522860547,1094.521
Sep2014,0.540868711,634.9745
Oct2014,0.908294105,563.5945
Nov2014,1.688010099,554.7465
Dec2014,-0.205281525,467.845
Jan2015,0.202363612,505.5165
Feb2015,0.695831206,549.0195
Mar2015,0.037846902,545.0905
Apr2015,-0.055734508,534.3725
May2015,1.114545794,696.581
Jun2015,0.78041523,881.122
Jul2015,1.858517443,1290.0005
Aug2015,2.373011104,1237.6295
Sep2015,2.6776759,727.891
Oct2015,2.275407317,614.9465
Nov2015,1.335108138,541.837
Dec2015,1.024554689,508.402
